model,reasoning,intelligence_index_score,time_per_intelligence_index_task_seconds_score,cost_per_intelligence_index_task_usd_score,median_end_to_end_response_time_seconds_score,artificial_analysis_coding_index_score,artificial_analysis_agentic_index_score,reasoning_score,knowledge_score,research_score,planning_capability_score,instruction_following_score,software_engineering_score,ui_visual_score,agentic_tools_score,finance_score,evidence_capture_score,security_score,data_ml_score,benchmark:AA-Briefcase,benchmark:AIME,benchmark:AIME 2026,benchmark:ARC-AGI-1,benchmark:ARC-AGI-2,benchmark:ARC-AGI-3,benchmark:Agents' Last Exam,benchmark:Aider Polyglot,benchmark:Artificial Analysis Coding Agent Index,benchmark:Artificial Analysis Coding Index,benchmark:Artificial Analysis Intelligence Index,benchmark:AutomationBench,benchmark:BabyVision,benchmark:BrowseComp,benchmark:CTI-REALM,benchmark:CharXiv Reasoning,benchmark:Claw-eval,benchmark:ClawEval,benchmark:CritPt,benchmark:CyberGym,benchmark:DSBench-FullStack,benchmark:DSBench-Hard,benchmark:DeepSWE,benchmark:DeepSearch QA,benchmark:DeepSearchQA,benchmark:FORTE,benchmark:Finance Agent,benchmark:FinanceAgent,benchmark:Frontier-Bench,benchmark:FrontierCode,benchmark:FrontierMath,benchmark:FrontierSWE,benchmark:GDM-MRCR,benchmark:GDPval,benchmark:GDPval-AA,benchmark:GPQA,benchmark:GPQA Diamond,benchmark:GeneBench,benchmark:Graphwalks,benchmark:HMMT,benchmark:HealthBench Professional,benchmark:Humanity's Last Exam,benchmark:Humanity’s Last Exam,benchmark:IFBench,benchmark:IFEval,benchmark:IMOAnswerBench,benchmark:JobBench,benchmark:Kimi Claw 24/7 Bench,benchmark:Kimi Code Bench,benchmark:LMArena Text-to-Video Arena,benchmark:LiveCodeBench,benchmark:LiveCodeBench Pro,benchmark:Long Context Reasoning,benchmark:MCP Atlas,benchmark:MCP Mark Verified,benchmark:MLE-Bench,benchmark:MLS Bench Lite,benchmark:MLS-Bench-Lite,benchmark:MMLU,benchmark:MMLU-Pro,benchmark:MMMU Pro,benchmark:MRCRv2,benchmark:NL2Repo,benchmark:OSWorld,benchmark:OSWorld-Verified,benchmark:OmniDocBench,benchmark:OpenAI MRCR,benchmark:PostTrainBench,benchmark:Program Bench,benchmark:SWE Bench Pro,benchmark:SWE Marathon,benchmark:SWE-Atlas Codebase QnA,benchmark:SWE-Atlas Refactoring,benchmark:SWE-Atlas Test Writing,benchmark:SWE-Bench Multilingual,benchmark:SWE-Bench Multimodal,benchmark:SWE-Bench Pro,benchmark:SWE-Bench Verified,benchmark:SciCode,benchmark:SpreadsheetBench,benchmark:Terminal Bench 2.0,benchmark:Terminal Bench 2.1,benchmark:Terminal-Bench,benchmark:Terminal-Bench 2.1,benchmark:Terminal-Bench Hard,benchmark:Tool-Decathlon,benchmark:Toolathlon,benchmark:Toolathlon Verified,benchmark:Toolathlon-Verified,benchmark:WideSearch,benchmark:ZeroBench,benchmark:τ3 Banking,benchmark:τ²-Bench Telecom,benchmark:τ³-Telecom
gpt-oss-120b,high,32,,98,93,36,22,,,,,,29,,,,,,,,,,,,,,,16,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grok 4.3,high,56,,95,88,52,41,,,,,,47,,,,,,,,,,,,,,,30,52,81,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
Grok 4.5,high,87,,89,92,92,83,,,,,,57,,,,,,,,,,,,,,,61,92,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,,79,,,,,,87,,,,,,,,,,,
Kimi K2.6,high,69,,88,51,78,52,,,,,,48,,,,,,,,,,,,,,,63,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,29,44,,,,,42,,,,,,,,,,,
Llama 4 Maverick,high,15,,99,98,17,2,,,,,,7,,,,,,,,,,,,,,9,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
MiniMax-M3,high,69,,96,85,74,61,,,,,,61,,61,,69,,,,,,,,,,,45,74,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,71,,,,,,,,,,,,72,45,,,,,46,,,,,,,,,,,
Muse Spark 1.1,xhigh,83,,91,94,91,67,,,,,,79,,,,,,,,,,,,,,,49,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi K2.7 Code,high,65,,93,64,77,51,,,,,,50,,,,,,,,,,,,,,,38,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi K3,low,74,,92,66,92,67,,,,,,80,,,,,,,,,,,,,,,49,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi K3,max,94,,73,68,97,92,,,,,,95,,,,,,,0,,,,,,,,68,97,,100,,100,,100,,,,,,,78,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,99,,,,,,,,,,,
Claude Opus 5,low,82,90,86,94,85,71,,,,,,90,,,,,,,,,,,,,,,52,85,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,99,100,,,,,,,,,,,,,,,,
Claude Opus 5,medium,92,78,77,92,95,85,,,,,,95,,,,,,,,,,,,,,,63,95,,,,,,,,,,,,,84,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,99,100,,,,,,,,,,,,,,,,
Claude Opus 5,high,97,62,61,90,98,95,,,,,,96,,,,,,,,,,,,,,,70,98,,,,97,,,,,,,,,84,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,99,100,,,,,,,,,,,,,,,,
Claude Opus 5,xhigh,99,45,43,84,98,99,,,,,,97,,,,,,,,,,,,,,,73,98,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,99,100,,,,,,,,,,,,,,,,
Claude Opus 5,max,100,26,25,66,100,100,,,,,,92,,,,,,,100,,,,100,,,,74,100,,64,,,,,,,,,,,84,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,99,100,,,,,,,,,,,,,,,,
Qwen3.6 Plus,high,61,,89,46,68,49,,,,,,59,,,,,,,,,,,,,,,36,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3.7 Max,high,71,,83,92,83,52,,,,,,55,,65,,,,,,,,,,,,,38,83,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,5,,,,,,,,,,,,74,,,,,,,,,0,,,,,,,,,,,,8,,74,45,100,,,,55,,,,,,,,,,,
Qwen3.7 Plus,high,59,,92,77,70,35,,,,,,53,,,,,,,,,,,,,,,26,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3.8 Max,high,91,,64,73,91,99,,,,,,95,,,,,,,,,,,,,,,73,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiMo-V2.5,high,56,,100,84,71,41,,,,,,56,,,,,,,,,,,,,,,30,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiMo-V2.5-Pro,high,65,,99,72,76,50,,,,,,59,,,,,,,,,,,,,,,37,76,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,40,,,,,,,,,,,,,,,,
Qwen3 Coder Next,high,27,,89,98,43,15,,,,,,29,,,,,,,,,,,,,,,11,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b,high,17,,99,90,23,5,,,,,,14,,,,,,,,,,,,,,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magistral Small 1.2,high,10,,90,92,15,2,,,,,,9,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministral 3 3B,high,2,,96,99,1,2,,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministral 3 8B,high,6,,94,98,8,2,,,,,,5,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 3.7 Flash,high,44,,97,97,48,36,,,,,,51,,47,,,,,,,,,,,,,27,48,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,34,,,,31,,100,,62,,,,,,,
Mistral Small 3.1,high,16,,99,99,30,8,,,,,,19,,,,,,,,,,,,,,,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-4 Mini Instruct,high,0,,100,95,0,0,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkling,xhigh,64,,89,83,65,57,,,,,,61,,,,,,,,,,,,,,,42,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkling Small,high,62,,98,90,66,54,,,,,,60,,,,,,,,,,,,,,,40,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral Medium 3.5,high,43,,85,89,58,32,,,,,,42,,,,,,,,,,,,,,,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,
Mistral Small 3.2,high,9,,96,99,12,3,,,,,,8,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command A+,high,30,,100,94,32,15,,,,,,24,,,,,,,,,,,,,,,11,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Mini Code,high,25,,100,54,44,5,,,,,,24,,,,,,,,,,,,,,,4,44,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,,,,,,,,,,,,,,,0,
Devstral 2,high,24,,100,94,37,17,,,,,,17,,,,,,,,,,,,,,,13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,15,,,,,,,,,
Gemini 3.5 Flash-Lite,high,55,,97,96,61,46,,,,,,48,,49,,,,,,,,,,,,,34,61,,,,,,0,,,,,,,,,,,,,,,,,0,,61,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,80,,,,,,,,,,,,65,,,,,,18,,,,,,,,,,,
Mistral Medium 3.1,high,16,,95,97,22,10,,,,,,16,,,,,,,,,,,,,,,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini 3.6 Flash,high,80,84,82,91,88,68,,,,,,60,,88,,,,,,,,,,,,,50,88,,,,,,87,,,,,,,0,,,,,,,,,,100,,76,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100,,,,,,,,,,,,71,,,,,,75,,,,,,,,,,,
Hy3,high,64,,99,80,74,53,,,,,,55,,,,,,,,,,,,,,,39,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,
Ministral 3 14B,high,10,,95,98,14,3,,,,,,9,,,,,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama 4 Scout,high,8,,100,98,6,1,,,,,,4,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury 2,high,28,,97,99,37,16,,,,,,27,,,,,,,,,,,,,,,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Large Thinking,high,22,,95,94,30,6,,,,,,18,,,,,,,,,,,,,,,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek V4 Pro 0813,max,82,,98,85,87,84,,,,,,86,,,,,,,,,,,,,,,62,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grok 4.6,high,96,,73,81,98,99,,,,,,99,,,,,,,,,,,,,,,73,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling 3.0 Tiny,high,33,,100,95,30,27,,,,,,29,,,,,,,,,,,,,,,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring-2.6-1T,high,45,,88,89,52,32,,,,,,42,,,,,,,,,,,,,,,23,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling 3.0 Flash,high,56,,99,97,63,49,,,,,,56,,,,,,,,,,,,,,,36,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LongCat 2.0,high,50,,96,69,56,37,,,,,,45,,,,,,,,,,,,,,,27,56,,,,27,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,72,,,,,,58,,,,,,,,,,,
Nemotron 3.5 Lightning,high,31,,98,96,31,23,,,,,,27,,,,,,,,,,,,,,,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Pro 3,high,15,,95,90,17,4,,,,,,11,,,,,,,,,,,,,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celeris-1,high,12,,92,100,14,4,,,,,,9,,,,,,,,,,,,,,,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devstral Small 2,high,21,,100,97,34,18,,,,,,26,,,,,,,,,,,,,,,13,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
