model,reasoning,intelligence_index,time_per_intelligence_index_task_seconds,cost_per_intelligence_index_task_usd,median_end_to_end_response_time_seconds,artificial_analysis_coding_index,artificial_analysis_agentic_index,benchmark:SWE-Bench Verified,benchmark:SWE-Bench Pro,benchmark:SWE-Bench Multilingual,benchmark:SWE-Bench Multimodal,benchmark:DeepSWE,benchmark:Terminal-Bench,benchmark:Terminal-Bench Hard,benchmark:Aider Polyglot,benchmark:SciCode,benchmark:SWE-Atlas Codebase QnA,benchmark:SWE-Atlas Test Writing,benchmark:SWE-Atlas Refactoring,benchmark:FrontierCode,benchmark:FrontierSWE,benchmark:NL2Repo,benchmark:Program Bench,benchmark:SWE Marathon,benchmark:LiveCodeBench,benchmark:LiveCodeBench Pro,benchmark:MCP Atlas,benchmark:Artificial Analysis Coding Index,benchmark:Artificial Analysis Coding Agent Index,benchmark:Toolathlon,benchmark:AutomationBench
GPT-5 Pro,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-image-1.5,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-image-1-mini,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-image-2,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-Realtime-2.1,minimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-Realtime-2.1,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-Realtime-2.1,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-Realtime-2.1,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-Realtime-2.1,xhigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,low,,,,,,,,,,,,,,81.3,,,,,,,,,,,,,,,,
o3,medium,,,,,,,,,,,,,,81.3,,,,,,,,,,,,,,,,
o3,high,,,,,,,,,,,,,,81.3,,,,,,,,,,,,,,,,
o3-pro,low,,,,,,,,,,,,,,84.9,,,,,,,,,,,,,,,,
o3-pro,medium,,,,,,,,,,,,,,84.9,,,,,,,,,,,,,,,,
o3-pro,high,,,,,,,,,,,,,,84.9,,,,,,,,,,,,,,,,
text-embedding-3-large,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-3-small,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-ada-002,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Sonnet 4 (latest),default,,,,,,,,42.7,,,,,,61.3,,,,,,,,,,,,,,,,
Gemini 3.1 Pro Preview,low,,,,,,,,54.2,,,,70.3,,,,13.5,29.8,33.8,,,,,,,,78.2,,,,
Gemini 3.1 Pro Preview,medium,,,,,,,,54.2,,,,70.3,,,,13.5,29.8,33.8,,,,,,,,78.2,,,,
Gemini 3.1 Pro Preview,high,,,,,,,,15.1,,,,68.3,,,,45.6,29.8,33.8,,,,,,,,78.2,,43.0,,
Gemini 3.5 Flash,minimal,35.8,,,4,,,,55.1,,,,76.2,,,,,,,,,,,,,,83.6,,,56.5,
Gemini 3.5 Flash,low,,,,,,,,55.1,,,,76.2,,,,,,,,,,,,,,83.6,,,56.5,
Gemini 3.5 Flash,medium,46.7,,,24,,,,55.1,,,,76.2,,,,,,,,,,,,,,83.6,,,56.5,
Gemini 3.5 Flash,high,52.0,,0.69,30,70.1,39.7,,55.1,,,,76.2,,,,,,,,,,,,,,83.6,,,56.5,
Gemini 3.6 Flash,minimal,,,,,,,,58.7,,,,78.0,,,,,,,,,,,,,,,,,,
Gemini 3.6 Flash,low,,,,,,,,58.7,,,,78.0,,,,,,,,,,,,,,,,,,
Gemini 3.6 Flash,medium,,,,,,,,58.7,,,,78.0,,,,,,,,,,,,,,,,,,
Gemini 3.6 Flash,high,51.6,114,0.56,20,69.2,40.5,,58.7,,,49.0,78.0,,,,,,,,,,,,,,,,,,
GPT-5.2 Codex,default,41.2,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,
Grok 4.5,low,,,,,,,,64.7,78.0,,53.0,83.3,,,,,,,,,,,29.0,,,,,,,
Grok 4.5,medium,,,,,,,,64.7,78.0,,53.0,83.3,,,,,,,,,,,29.0,,,,,,,
Grok 4.5,high,55.8,,0.36,18,72.4,48.9,,64.7,78.0,,53.0,83.3,,,,,,,,,,,29.0,,,,,,,
Kimi K2.7 Code,default,43.0,,0.22,67,60.8,30.3,,,,,,,,,,,,,,,,53.6,,,,76.0,,,,
MAI-Code-1-Flash,low,,,,,,,71.6,51.2,,,,54.8,,,,,,,,,,,,,,,,,,
MAI-Code-1-Flash,medium,,,,,,,71.6,51.2,,,,54.8,,,,,,,,,,,,,,,,,,
MAI-Code-1-Flash,high,,,,,,,71.6,51.2,,,,54.8,,,,,,,,,,,,,,,,,,
